MonitoringLocationIdentifier,richness,ept_taxa,ept_present,tol_present,LatitudeMeasure,LongitudeMeasure,region
11NPSWRD_WQX-ALPO_FISH16_BGRFOT,9,0,False,False,40.41607,-78.45256,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ALPO_FISH16_BGRMS,6,0,False,False,40.43218,-78.5177,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ALPO_FISH16_BGRSA,1,0,False,False,40.45341,-78.54038,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ALPO_FISH16_MR,3,0,False,False,40.41889,-78.48355,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_ALPO_BMI_1001,67,15,True,True,40.4187,-78.4841,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_ALPO_BMI_2001,80,11,True,True,40.416,-78.4525,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_BLUE_BMI_1001,70,9,True,True,37.5271,-81.015,Ohio River Basin
11NPSWRD_WQX-ERMN_BLUE_BMI_1002,94,10,True,True,37.5349,-81.0205,Ohio River Basin
11NPSWRD_WQX-ERMN_BLUE_BMI_1003,102,9,True,True,37.5842,-80.9711,Ohio River Basin
11NPSWRD_WQX-ERMN_BLUE_BMI_1004,95,10,True,True,37.5616,-80.9928,Ohio River Basin
11NPSWRD_WQX-ERMN_DEWA_BMI_3001,70,9,True,True,40.9714,-75.144,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3002,67,12,True,True,41.1138,-74.9844,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3003,57,9,True,True,41.1974,-74.9031,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3004,81,14,True,True,41.2224,-74.8746,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3005,65,10,True,True,40.974,-75.1265,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3006,64,9,True,True,41.1373,-74.9625,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3007,40,8,True,True,41.1756,-74.906,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3008,84,10,True,True,41.2377,-74.9183,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3010,54,3,True,True,41.0967,-74.9237,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3011,78,12,True,True,41.2488,-74.8771,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3012,87,14,True,True,41.2578,-74.8904,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3013,86,13,True,True,41.0938,-75.0053,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3014,79,10,True,True,41.0711,-74.9651,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3015,95,12,True,True,41.2305,-74.9034,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3018,73,12,True,True,41.1295,-74.9592,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3020,80,10,True,True,41.1689,-74.9267,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3022,67,11,True,True,41.1415,-74.9628,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3023,87,13,True,True,41.2354,-74.8857,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3025,95,14,True,True,41.0647,-74.9844,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3026,64,8,True,True,41.0857,-74.9406,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3027,71,12,True,True,41.2415,-74.8698,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3028,61,6,True,True,41.2946,-74.7955,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3029,74,9,True,True,41.0824,-75.0143,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3030,56,3,True,True,41.0318,-75.0053,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3031,95,13,True,True,41.2307,-74.8948,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3032,93,13,True,True,41.2952,-74.8455,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3033,73,12,True,True,40.9834,-75.1052,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3034,75,13,True,True,41.1271,-74.9565,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3035,72,12,True,True,41.1936,-74.8999,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3036,75,14,True,True,41.1592,-74.9243,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3038,79,14,True,True,41.0906,-74.9412,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_DEWA_BMI_3039,80,11,True,True,41.2518,-74.8817,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-ERMN_FONE_BMI_1002,70,8,True,True,39.8126,-79.5804,Ohio River Basin
11NPSWRD_WQX-ERMN_FONE_BMI_2001,48,6,True,True,39.8145,-79.5815,Ohio River Basin
11NPSWRD_WQX-ERMN_FRHI_BMI_1001,6,0,False,True,39.7825,-79.9302,Ohio River Basin
11NPSWRD_WQX-ERMN_FRHI_BMI_1002,59,5,True,True,39.7839,-79.9235,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3001,75,9,True,True,37.9441,-81.0917,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3005,73,11,True,True,37.9196,-81.0128,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3009,67,10,True,True,37.8881,-81.0231,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3011,89,10,True,True,37.8193,-80.9108,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3016,76,10,True,True,37.8289,-81.0492,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3018,79,8,True,True,38.0326,-81.021,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3021,55,4,True,True,37.9442,-81.0245,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3024,74,12,True,True,37.714,-80.9038,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3026,86,11,True,True,37.8586,-80.979,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3032,82,11,True,True,37.8278,-81.0475,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3034,59,3,True,True,37.9827,-81.0251,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3036,71,11,True,True,37.7448,-80.943,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3037,91,13,True,True,37.858,-81.0049,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3038,40,3,True,True,37.9633,-81.0874,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3041,86,12,True,True,37.8583,-81.0198,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3042,88,7,True,True,37.8732,-80.9516,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3043,91,10,True,True,37.8327,-80.8979,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3044,93,13,True,True,37.8512,-81.0392,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3048,67,15,True,True,37.8237,-81.0571,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3049,55,8,True,True,37.9142,-81.0108,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3050,84,14,True,True,37.9617,-81.0129,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3052,89,13,True,True,37.7497,-80.9317,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3053,68,13,True,True,37.8916,-81.0285,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3054,31,3,True,True,37.9642,-81.0903,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3058,81,10,True,True,37.8612,-80.952,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3059,63,12,True,True,37.838,-80.8803,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3064,56,10,True,True,37.8426,-81.104,Ohio River Basin
