MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,LatitudeMeasure,LongitudeMeasure,HUCEightDigitCode,StateCode,region,huc2
11NPSWRD_WQX-ALPO_FISH16_BGRFOT,Blair Gap Run (Foot of Ten),River/Stream,40.41607,-78.45256,2050302,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ALPO_FISH16_BGRMS,Blair Gap Run (Muleshoe),River/Stream,40.43218,-78.5177,2050302,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ALPO_FISH16_BGRSA,Blair Gap Run (Skew Arch),River/Stream,40.45341,-78.54038,2050302,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ALPO_FISH16_MR,Millstone Run,River/Stream,40.41889,-78.48355,2050302,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ERMN_ALPO_BMI_1001,Millstone Run,River/Stream,40.4187,-78.4841,2050302,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ERMN_ALPO_BMI_2001,Blair Gap Run,River/Stream,40.416,-78.4525,2050302,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ERMN_DEWA_BMI_3001,Caledonia Creek 13,River/Stream,40.9714,-75.144,2040104,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ERMN_DEWA_BMI_3002,Van Campen Creek 12,River/Stream,41.1138,-74.9844,2040104,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ERMN_DEWA_BMI_3003,Deckers Creek 3,River/Stream,41.1974,-74.9031,2040104,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ERMN_DEWA_BMI_3004,Dingmans Creek 5,River/Stream,41.2224,-74.8746,2040104,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ERMN_DEWA_BMI_3005,Dunnfield Creek 3,River/Stream,40.974,-75.1265,2040104,34.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ERMN_DEWA_BMI_3006,Toms Creek 20,River/Stream,41.1373,-74.9625,2040104,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ERMN_DEWA_BMI_3007,Spackmans Creek 8,River/Stream,41.1756,-74.906,2040104,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ERMN_DEWA_BMI_3008,Dingmans Creek 57,River/Stream,41.2377,-74.9183,2040104,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-ERMN_DEWA_BMI_3010,Vancampens Brook 95,River/Stream,41.0967,-74.9237,2040104,34.0,Mid-Atlantic / Chesapeake,02
